City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Atuona,PF,77.36,light rain,-9.8,-139.0333,Villa Enata
11,Butaritari,KI,81.46,broken clouds,3.0707,172.7902,Isles Sunset Lodge
15,Pangai,TO,76.59,clear sky,-19.8,-174.35,Ha'apai Beach Resort
16,Freeport,US,77.58,scattered clouds,40.6576,-73.5832,The Freeport Inn and Marina
18,Obo,CF,78.82,light rain,5.3998,26.4869,
21,Georgetown,MY,85.95,broken clouds,5.4112,100.3354,Cititel Penang
24,Saltpond,GH,83.28,few clouds,5.2091,-1.0606,Mfantseman Beach Resort
33,Biak,ID,78.33,broken clouds,-0.9131,122.8766,Penginapan Kim
37,Yurimaguas,PE,86.16,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
40,Cayenne,GF,89.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
43,Manono,CD,88.57,broken clouds,-7.3,27.4167,Hotel hewa bora
50,Ponta Do Sol,PT,80.01,few clouds,32.6667,-17.1,Hotel do Campo
55,Mpulungu,ZM,82.65,overcast clouds,-8.7623,31.1141,Chela moche guest house
57,San Patricio,US,85.93,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
89,Itapetininga,BR,84.56,overcast clouds,-23.5917,-48.0531,Hotel Universitário
90,Dingle,PH,76.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
91,Salinopolis,BR,86.25,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
95,Houma,US,84.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
96,Aimores,BR,84.96,overcast clouds,-19.4958,-41.0639,Villares Hotel
98,Shirdi,IN,77.49,overcast clouds,19.7667,74.4833,Shradha Saburi Palace
104,Cabo San Lucas,MX,80.15,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
113,Malindi,KE,79.07,broken clouds,-3.2175,40.1191,African House Resort
114,Takoradi,GH,82.81,light rain,4.8845,-1.7554,Raybow International Hotel
116,Montepuez,MZ,82.15,overcast clouds,-13.1256,38.9997,PembaAparthotel
123,Tautira,PF,75.0,light rain,-17.7333,-149.15,Pension Oaoa
127,Brewster,US,75.27,broken clouds,41.3973,-73.6171,Heidi's Inn
128,Kudal,IN,79.18,overcast clouds,16.0333,73.6833,Coconut Hotel
132,Kavaratti,IN,82.04,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
133,Thinadhoo,MV,83.37,broken clouds,0.5333,72.9333,
136,Hirara,JP,82.13,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
141,Warri,NG,85.95,light rain,5.5167,5.75,BON Hotel Delta
145,Arraial Do Cabo,BR,76.28,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
146,Sur,OM,84.11,clear sky,22.5667,59.5289,Sur Plaza Hotel
149,Jalu,LY,82.08,clear sky,29.0331,21.5482,صاحبة الفخامة
156,Razole,IN,82.69,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
162,The Valley,AI,88.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
163,Marsh Harbour,BS,80.38,clear sky,26.5412,-77.0636,Abaco Beach Resort
169,Daru,PG,77.63,overcast clouds,-9.0763,143.2092,Daru Lodge
173,Broome,US,75.81,few clouds,42.2506,-75.833,Chenango Valley State Park
174,Hithadhoo,MV,83.17,overcast clouds,-0.6,73.0833,Scoop Guest House
177,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
181,Nicolas Bravo,MX,76.08,few clouds,18.45,-88.9167,
188,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
