City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,34.39,92,100,9.46,overcast clouds
1,Provideniya,RU,64.3833,-173.3,22.1,79,4,6.98,clear sky
2,Saskylakh,RU,71.9167,114.0833,5.74,95,100,8.19,overcast clouds
3,Cidreira,BR,-30.1811,-50.2056,69.04,89,100,9.17,moderate rain
4,Katsuura,JP,35.1333,140.3,72.19,75,53,7.07,broken clouds
5,Polunochnoye,RU,60.8697,60.4153,45.63,62,100,8.9,overcast clouds
6,Atuona,PF,-9.8,-139.0333,77.36,78,39,19.04,light rain
7,Mataura,NZ,-46.1927,168.8643,37.49,97,62,2.48,broken clouds
8,Vaini,TO,-21.2,-175.2,71.76,100,90,7.92,moderate rain
9,Keuruu,FI,62.2667,24.7,48.94,93,100,14.25,moderate rain
10,Jamestown,US,42.097,-79.2353,71.1,94,90,3.0,overcast clouds
11,Butaritari,KI,3.0707,172.7902,81.46,74,56,11.97,broken clouds
12,Aklavik,CA,68.2191,-135.0107,24.8,93,90,2.3,overcast clouds
13,Ribeira Grande,PT,38.5167,-28.7,73.8,60,20,9.22,few clouds
14,Kamina,CD,-8.7386,24.9906,66.02,89,99,10.65,moderate rain
15,Pangai,TO,-19.8,-174.35,76.59,65,0,0.76,clear sky
16,Freeport,US,40.6576,-73.5832,77.58,65,45,5.01,scattered clouds
17,Busselton,AU,-33.65,115.3333,67.05,64,57,10.85,broken clouds
18,Obo,CF,5.3998,26.4869,78.82,82,94,3.36,light rain
19,Chokurdakh,RU,70.6333,147.9167,-2.87,100,99,0.92,overcast clouds
20,Bluff,NZ,-46.6,168.3333,43.75,84,94,11.63,overcast clouds
21,Georgetown,MY,5.4112,100.3354,85.95,79,77,0.0,broken clouds
22,Pisco,PE,-13.7,-76.2167,64.45,77,62,8.05,broken clouds
23,Tasiilaq,GL,65.6145,-37.6368,44.76,55,84,6.98,broken clouds
24,Saltpond,GH,5.2091,-1.0606,83.28,72,11,12.41,few clouds
25,Mount Isa,AU,-20.7333,139.5,71.37,21,0,8.05,clear sky
26,Codrington,AU,-38.2667,141.9667,53.26,74,100,23.33,overcast clouds
27,Avarua,CK,-21.2078,-159.775,64.45,100,0,2.3,clear sky
28,Sisimiut,GL,66.9395,-53.6735,36.82,80,21,7.9,few clouds
29,Pastavy,BY,55.1168,26.8326,48.97,85,100,16.24,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,61.9,63,99,22.7,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,51.93,78,100,3.0,overcast clouds
32,Saint-Pierre,RE,-21.3393,55.4781,74.88,80,0,26.46,clear sky
33,Biak,ID,-0.9131,122.8766,78.33,85,62,3.04,broken clouds
34,Ushuaia,AR,-54.8,-68.3,45.57,71,96,8.84,overcast clouds
35,Nikolskoye,RU,59.7035,30.7861,46.87,86,100,12.35,light rain
36,Puerto Ayora,EC,-0.7393,-90.3518,70.29,78,97,11.05,overcast clouds
37,Yurimaguas,PE,-5.9,-76.0833,86.16,43,75,9.22,broken clouds
38,Lebu,CL,-37.6167,-73.65,51.6,60,3,10.13,clear sky
39,Rocha,UY,-34.4833,-54.3333,59.31,56,100,18.05,overcast clouds
40,Cayenne,GF,4.9333,-52.3333,89.64,70,40,5.01,scattered clouds
41,Caucaia,BR,-3.7361,-38.6531,92.07,67,20,21.85,few clouds
42,Cape Town,ZA,-33.9258,18.4232,64.27,61,95,8.01,light rain
43,Manono,CD,-7.3,27.4167,88.57,41,62,7.76,broken clouds
44,Longyearbyen,SJ,78.2186,15.6401,22.84,68,20,5.75,few clouds
45,Rikitea,PF,-23.1203,-134.9692,73.9,74,39,3.98,scattered clouds
46,Tuktoyaktuk,CA,69.4541,-133.0374,28.11,78,100,6.85,overcast clouds
47,Bredasdorp,ZA,-34.5322,20.0403,61.29,44,100,20.78,overcast clouds
48,Yellowknife,CA,62.456,-114.3525,35.42,100,75,8.05,broken clouds
49,Nanortalik,GL,60.1432,-45.2371,41.11,65,100,4.9,overcast clouds
50,Ponta Do Sol,PT,32.6667,-17.1,80.01,68,18,2.26,few clouds
51,Hilo,US,19.7297,-155.09,71.33,95,90,5.75,moderate rain
52,Stettler,CA,52.3168,-112.7186,33.55,51,13,6.8,few clouds
53,Sembakung,ID,3.8167,117.25,74.73,98,94,1.16,overcast clouds
54,Kodiak,US,57.79,-152.4072,37.04,73,39,6.8,scattered clouds
55,Mpulungu,ZM,-8.7623,31.1141,82.65,51,86,5.75,overcast clouds
56,Zyryanka,RU,65.75,150.85,14.31,95,100,8.12,overcast clouds
57,San Patricio,US,28.017,-97.5169,85.93,78,6,6.42,clear sky
58,Cherskiy,RU,68.75,161.3,-5.85,100,95,3.06,overcast clouds
59,Port Alfred,ZA,-33.5906,26.891,68.45,72,95,5.21,overcast clouds
60,Matagami,CA,49.7502,-77.6328,53.71,94,90,9.22,overcast clouds
61,Sitka,US,57.0531,-135.33,40.89,87,90,8.05,light rain
62,Rawson,AR,-43.3002,-65.1023,60.6,27,0,22.32,clear sky
63,Esperance,AU,-33.8667,121.9,54.93,79,34,19.24,scattered clouds
64,Iqaluit,CA,63.7506,-68.5145,29.7,63,11,3.0,few clouds
65,Turka,UA,49.1541,23.0297,52.79,61,18,5.79,few clouds
