City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Okhotsk,RU,2021-10-11 11:39:45,59.3833,143.3,29.3,78,100,3.4
1,Luderitz,NA,2021-10-11 11:39:45,-26.6481,15.1594,82.45,37,1,8.93
2,Vaini,TO,2021-10-11 11:39:45,-21.2,-175.2,69.96,83,20,8.05
3,Busselton,AU,2021-10-11 11:39:46,-33.65,115.3333,47.08,51,75,18.68
4,Kibaya,TZ,2021-10-11 11:39:46,-5.3,36.5667,80.76,24,97,10.33
5,Port-Cartier,CA,2021-10-11 11:39:46,50.0334,-66.8654,39.42,87,71,3.62
6,Ushuaia,AR,2021-10-11 11:39:47,-54.8,-68.3,40.66,93,40,5.75
7,Bluff,NZ,2021-10-11 11:39:47,-46.6,168.3333,44.8,78,100,24.54
8,Rikitea,PF,2021-10-11 11:39:48,-23.1203,-134.9692,74.07,78,100,17.02
9,Leningradskiy,RU,2021-10-11 11:39:48,69.3833,178.4167,17.17,92,98,5.06
10,Tabuk,PH,2021-10-11 11:39:48,17.4189,121.4443,74.1,97,100,13.38
11,Airai,TL,2021-10-11 11:39:49,-8.9266,125.4092,62.51,91,92,2.3
12,Tuatapere,NZ,2021-10-11 11:39:49,-46.1333,167.6833,44.82,91,100,10.45
13,Augusto Correa,BR,2021-10-11 11:39:49,-1.0217,-46.635,87.1,55,24,8.99
14,Hilo,US,2021-10-11 11:39:50,19.7297,-155.09,72.28,90,90,4.61
15,Hobart,AU,2021-10-11 11:39:50,-42.8794,147.3294,46.26,79,40,6.91
16,Barrow,US,2021-10-11 11:38:22,71.2906,-156.7887,26.62,86,90,12.66
17,Mataura,NZ,2021-10-11 11:39:51,-46.1927,168.8643,44.47,99,100,3.06
18,Hochstadt,DE,2021-10-11 11:39:51,49.2475,8.2089,58.01,54,81,5.14
19,Kruisfontein,ZA,2021-10-11 11:39:51,-34.0033,24.7314,91.45,13,99,10.92
20,Nanortalik,GL,2021-10-11 11:39:52,60.1432,-45.2371,40.51,47,46,7.58
21,Kapaa,US,2021-10-11 11:39:52,22.0752,-159.319,77.32,75,40,4.0
22,Kaitangata,NZ,2021-10-11 11:39:52,-46.2817,169.8464,43.75,91,100,8.37
23,Thompson,CA,2021-10-11 11:39:53,55.7435,-97.8558,39.36,93,90,8.05
24,Charters Towers,AU,2021-10-11 11:39:53,-20.1,146.2667,75.34,46,99,13.04
25,Cockburn Town,TC,2021-10-11 11:39:54,21.4612,-71.1419,82.35,78,87,17.02
26,Butaritari,KI,2021-10-11 11:39:54,3.0707,172.7902,81.54,70,76,4.76
27,Araouane,ML,2021-10-11 11:39:54,18.9048,-3.5265,100.96,7,61,8.77
28,New Norfolk,AU,2021-10-11 11:39:54,-42.7826,147.0587,45.9,65,39,0.92
29,Beloha,MG,2021-10-11 11:39:55,-25.1667,45.05,73.78,38,81,15.05
30,Sinnamary,GF,2021-10-11 11:39:55,5.3833,-52.95,82.45,79,47,11.01
31,Hambantota,LK,2021-10-11 11:39:56,6.1241,81.1185,86.34,74,75,12.66
32,Qaanaaq,GL,2021-10-11 11:39:56,77.484,-69.3632,25.92,92,100,6.04
33,Ambon,ID,2021-10-11 11:39:57,-3.6954,128.1814,82.06,80,93,6.26
34,Yellowknife,CA,2021-10-11 11:39:57,62.456,-114.3525,31.41,100,1,5.01
35,Iqaluit,CA,2021-10-11 11:39:57,63.7506,-68.5145,29.93,92,75,0.0
36,Dikson,RU,2021-10-11 11:39:58,73.5069,80.5464,29.26,61,100,11.18
37,Semiletka,RU,2021-10-11 11:39:58,55.3603,54.6153,51.73,65,91,9.35
38,Kavieng,PG,2021-10-11 11:39:58,-2.5744,150.7967,82.65,71,29,7.99
39,Muros,ES,2021-10-11 11:39:59,42.7762,-9.0603,78.24,49,96,2.55
40,Arraial Do Cabo,BR,2021-10-11 11:39:59,-22.9661,-42.0278,67.86,88,90,13.8
